[ERROR] 2026/05/26 - 22:56:39 | H:/AiData/openclaw/workspace/QuantumClaw/controller/free_chat.go:115 [0] 免费聊天: deepseek 未配置 (设置 DEEPSEEK_API_KEY 环境变量) 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: qwen-25-72b 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: qwen-25-coder 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: qwen-25-coder 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: baichuan-4 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: baichuan-4 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: yi-lightning 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: yi-lightning 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: yi-large 
[WARN] 2026/05/26 - 22:56:44 | H:/AiData/openclaw/workspace/QuantumClaw/relay/billing/ratio/model.go:738 [GetModelRatio] model ratio not found: yi-large 
[ERROR] 2026/05/26 - 22:57:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:344 [fetchAndStoreSource] RSS fetch error [Google AI]: Get "https://feeds.feedburner.com/blogspot/gJZg": dial tcp [2607:f8b0:400a:801::200e]:443: connectex: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond. 
[ERROR] 2026/05/26 - 22:57:40 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:344 [fetchAndStoreSource] RSS fetch error [ArXiv]: context deadline exceeded (Client.Timeout or context cancellation while reading body) 
[ERROR] 2026/05/26 - 22:58:01 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:344 [fetchAndStoreSource] RSS fetch error [Hugging Face]: Get "https://huggingface.co/blog/feed.xml": dial tcp [2a03:2880:f12a:83:face:b00c:0:25de]:443: connectex: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond. 
