[INFO] 2026/05/25 - 13:11:51 | H:/AiData/openclaw/workspace/QuantumClaw/service/channel_upstream.go:81 [1] channel upstream model update service registered 
[INFO] 2026/05/25 - 13:11:54 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:335 [fetchAndStoreSource] RSS [雷锋网] fetched 20 articles from "雷峰网" 
[INFO] 2026/05/25 - 13:11:54 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:352 [fetchAndStoreSource] RSS [雷锋网] stored 20 new articles 
[INFO] 2026/05/25 - 13:11:54 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:365 [StartRssService] RSS source [OpenAI Blog] is disabled, skipping 
[INFO] 2026/05/25 - 13:11:54 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:365 [StartRssService] RSS source [Anthropic] is disabled, skipping 
[INFO] 2026/05/25 - 13:12:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:12:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:12:16 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:335 [fetchAndStoreSource] RSS [MIT Tech Review] fetched 10 articles from "Artificial intelligence – MIT Technology Review" 
[INFO] 2026/05/25 - 13:12:16 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:352 [fetchAndStoreSource] RSS [MIT Tech Review] stored 10 new articles 
[INFO] 2026/05/25 - 13:12:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:335 [fetchAndStoreSource] RSS [ArXiv] fetched 289 articles from "cs.AI updates on arXiv.org" 
[INFO] 2026/05/25 - 13:12:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:352 [fetchAndStoreSource] RSS [ArXiv] stored 289 new articles 
[INFO] 2026/05/25 - 13:12:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:12:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:12:37 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:12:37 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:12:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:12:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:13:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:13:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:13:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:13:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:13:37 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:13:37 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:13:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:13:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:14:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:14:07 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:14:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:14:22 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:14:37 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:14:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:14:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:14:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:15:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:15:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:15:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:15:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:15:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:15:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:15:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:15:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:16:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:16:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:16:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:16:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:16:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:16:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:16:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:16:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:17:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:17:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:17:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:17:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:17:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:17:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:17:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:17:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:18:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:18:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:18:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:18:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:18:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:18:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:18:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:18:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:19:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:19:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:19:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:19:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:19:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:19:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:19:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:19:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:20:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:20:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:20:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:20:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:20:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:20:38 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:20:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:20:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:21:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:21:08 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
[INFO] 2026/05/25 - 13:21:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:58 [TaskPollingLoop] 任务进度轮询开始 
[INFO] 2026/05/25 - 13:21:23 | H:/AiData/openclaw/workspace/QuantumClaw/service/task_polling.go:61 [TaskPollingLoop] 任务进度轮询完成 
